sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample7-195rpm-60kx-4,7.333490e-03,6.689969e-01,1.418378e+00,-9.477467e-05,1.618762e-03,2.521568e-03,1.566025e-02,2.549146e-04,9.958904e-01,39,9.952581e-01,2.556613e-03
sample7-195rpm-60kx-5,7.150488e-03,6.942105e-01,1.221526e+00,-1.026722e-04,1.782254e-03,1.929438e-03,1.610423e-02,3.846455e-04,9.942381e-01,39,9.933517e-01,3.140494e-03
sample7-195rpm-60kx-6,7.209169e-03,-6.798307e-01,8.091421e+00,-9.853174e-05,1.695891e-03,2.232300e-03,1.584224e-02,3.024858e-04,9.952612e-01,39,9.945321e-01,2.784968e-03
sample7-195rpm-60kx-7,7.081723e-03,6.826212e-01,1.309353e+00,-1.000431e-04,1.728348e-03,2.212106e-03,1.621923e-02,3.034671e-04,9.954091e-01,39,9.947028e-01,2.789482e-03
sample7-195rpm-60kx-8,1.388317e-05,-1.956419e-01,4.609348e+00,-8.865937e-05,1.537821e-03,2.596376e-03,1.634930e-02,1.425231e-03,9.773734e-01,39,9.738924e-01,6.045196e-03
sample7-195rpm-60kx-9,7.033489e-03,7.028112e-01,1.160823e+00,-1.050229e-04,1.833319e-03,1.723531e-03,1.641479e-02,4.102973e-04,9.940041e-01,39,9.930817e-01,3.243523e-03
sample7-20rpm-60kx-10,7.696078e-03,-6.556057e-01,7.912472e+00,-9.201462e-05,1.553589e-03,2.856774e-03,1.522918e-02,2.497234e-04,9.959353e-01,39,9.953099e-01,2.530448e-03
sample7-20rpm-60kx-11,7.338270e-03,6.591573e-01,1.475285e+00,-9.502534e-05,1.617908e-03,2.762988e-03,1.596234e-02,2.111338e-04,9.967408e-01,39,9.962394e-01,2.326733e-03
sample7-20rpm-60kx-2,-2.877168e-03,-1.109147e+00,9.516389e+00,-8.964051e-05,1.506449e-03,3.120971e-03,1.593159e-02,1.196411e-03,9.806807e-01,39,9.777085e-01,5.538702e-03
sample7-20rpm-60kx-3,7.361634e-03,6.543298e-01,1.517243e+00,-9.336657e-05,1.584043e-03,2.817187e-03,1.581930e-02,1.938452e-04,9.969266e-01,39,9.964537e-01,2.229437e-03
sample7-20rpm-60kx-5,7.487808e-03,-6.553628e-01,7.909021e+00,-9.223385e-05,1.561897e-03,2.845842e-03,1.558291e-02,2.142559e-04,9.965489e-01,39,9.960180e-01,2.343873e-03
sample7-20rpm-60kx-6,7.438551e-03,6.496167e-01,1.541648e+00,-9.337824e-05,1.579900e-03,2.972920e-03,1.589562e-02,1.880231e-04,9.970948e-01,39,9.966479e-01,2.195701e-03
