input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,input23,input24,input25,output1,output2,output3,output4,output5,output6,output7
1.448931e-01,7.911573e-02,6.144393e-02,5.483289e-02,4.234031e-02,3.665844e-02,3.067044e-02,3.028388e-02,2.373976e-02,1.931624e-02,1.685987e-02,1.388629e-02,1.340021e-02,1.228884e-02,1.114615e-02,1.013915e-02,9.603996e-03,8.112077e-03,7.556977e-03,7.032809e-03,6.444678e-03,6.318704e-03,6.249649e-03,5.922230e-03,1.931624e-02,1.197444e-07,-3.406428e-06,1.863898e-05,7.187322e-05,3.612913e-04,1.555624e-03,2.183743e-02
9.452609e-02,6.102946e-02,6.073130e-02,5.904972e-02,4.626580e-02,4.053851e-02,3.926355e-02,3.782995e-02,3.075105e-02,2.592406e-02,2.453410e-02,2.083686e-02,1.975934e-02,1.774663e-02,1.733706e-02,1.694319e-02,1.417919e-02,1.204290e-02,1.187849e-02,1.024599e-02,8.924966e-03,8.108625e-03,7.934770e-03,6.904617e-03,2.592406e-02,1.067655e-07,-3.115844e-06,1.817372e-05,4.619724e-05,5.161757e-04,1.614428e-03,2.158827e-02
1.725074e-01,1.204919e-01,1.007585e-01,8.496467e-02,7.822017e-02,6.187681e-02,5.868957e-02,5.383713e-02,4.615328e-02,4.067180e-02,3.478893e-02,3.472825e-02,3.319594e-02,3.092652e-02,2.788879e-02,2.579189e-02,2.306971e-02,2.129039e-02,2.091557e-02,1.764575e-02,1.680258e-02,1.659064e-02,1.478388e-02,1.415540e-02,4.067180e-02,1.027854e-07,-3.036141e-06,1.834309e-05,3.545428e-05,5.656263e-04,1.621674e-03,2.142199e-02
2.025167e-01,1.647729e-01,1.143864e-01,7.891377e-02,6.624109e-02,5.387219e-02,4.436490e-02,3.812140e-02,3.648185e-02,3.227734e-02,3.167855e-02,2.909618e-02,2.788909e-02,2.522805e-02,2.328416e-02,2.113408e-02,2.066852e-02,1.950835e-02,1.744842e-02,1.648033e-02,1.583548e-02,1.532790e-02,1.488352e-02,1.452232e-02,3.227734e-02,8.934347e-08,-2.664444e-06,1.577968e-05,2.922128e-05,6.540063e-04,1.589453e-03,2.116652e-02
1.709092e-01,1.576171e-01,1.449977e-01,1.355914e-01,1.159766e-01,1.078745e-01,1.053115e-01,9.706524e-02,8.651082e-02,7.870940e-02,7.453933e-02,6.179926e-02,5.710208e-02,4.850544e-02,4.547770e-02,4.360561e-02,4.172361e-02,3.849555e-02,3.510227e-02,3.393459e-02,3.255781e-02,3.134226e-02,3.079551e-02,2.892323e-02,7.870940e-02,1.290334e-07,-3.709382e-06,2.172468e-05,6.261141e-05,3.658384e-04,1.657092e-03,2.218004e-02
2.351644e-01,1.555222e-01,1.458212e-01,8.658872e-02,8.508878e-02,7.724646e-02,7.624035e-02,6.858928e-02,6.587097e-02,5.857189e-02,5.526489e-02,4.558861e-02,4.548091e-02,4.264828e-02,4.132508e-02,4.087410e-02,4.077929e-02,3.668759e-02,3.466342e-02,3.443475e-02,3.229520e-02,3.071796e-02,3.035397e-02,3.030952e-02,5.857189e-02,7.753096e-08,-2.469601e-06,1.738595e-05,-1.359146e-05,8.589986e-04,1.759085e-03,2.092702e-02
6.735760e-02,4.910204e-02,4.299984e-02,3.995145e-02,3.763212e-02,2.713756e-02,2.635853e-02,2.434164e-02,2.279081e-02,1.464961e-02,1.227743e-02,1.114539e-02,1.051979e-02,7.995742e-03,6.757357e-03,6.627082e-03,5.898495e-03,5.338449e-03,4.996392e-03,4.412490e-03,4.211700e-03,3.917103e-03,3.864367e-03,3.238344e-03,1.464961e-02,9.442699e-08,-2.737856e-06,1.474511e-05,5.060657e-05,5.661607e-04,1.520242e-03,2.139655e-02
1.567431e-01,1.069301e-01,1.046249e-01,6.249812e-02,4.959759e-02,4.614569e-02,4.558470e-02,3.880541e-02,3.348873e-02,3.225598e-02,2.804446e-02,2.363903e-02,2.203455e-02,2.194313e-02,1.837640e-02,1.673319e-02,1.583326e-02,1.413246e-02,1.410067e-02,1.367535e-02,1.248127e-02,1.187009e-02,1.024488e-02,9.612854e-03,3.225598e-02,1.077110e-07,-3.093699e-06,1.690322e-05,6.087107e-05,4.632760e-04,1.569404e-03,2.166488e-02
9.400025e-02,7.872931e-02,7.404901e-02,5.788807e-02,4.586856e-02,4.213356e-02,3.688465e-02,3.564069e-02,3.298850e-02,3.173972e-02,3.058281e-02,2.965865e-02,2.852130e-02,2.593291e-02,2.496391e-02,2.252886e-02,2.125495e-02,1.705301e-02,1.403623e-02,1.277880e-02,1.273063e-02,1.235324e-02,1.143734e-02,1.091100e-02,3.173972e-02,8.482658e-08,-2.516018e-06,1.410101e-05,3.424281e-05,6.900327e-04,1.615131e-03,2.144173e-02
1.239394e-01,6.898275e-02,5.657829e-02,5.123827e-02,4.464380e-02,4.098224e-02,3.073609e-02,2.543149e-02,2.481720e-02,2.348270e-02,2.171508e-02,1.612252e-02,1.513689e-02,1.499991e-02,1.198200e-02,1.099510e-02,1.091648e-02,1.078486e-02,1.072536e-02,8.929513e-03,8.441999e-03,7.404450e-03,6.960869e-03,6.568063e-03,2.348270e-02,1.154894e-07,-3.259818e-06,1.687095e-05,7.826724e-05,3.905731e-04,1.558236e-03,2.209096e-02
3.841082e-01,1.294731e-01,8.351930e-02,7.759229e-02,6.336626e-02,5.319588e-02,5.159914e-02,4.439144e-02,3.515018e-02,3.255630e-02,3.168222e-02,3.018009e-02,2.710532e-02,2.383630e-02,2.298553e-02,2.262075e-02,2.193163e-02,2.120362e-02,1.915335e-02,1.820445e-02,1.715716e-02,1.507440e-02,1.452065e-02,1.339821e-02,3.255630e-02,1.101249e-07,-3.149415e-06,1.703187e-05,6.488925e-05,4.433496e-04,1.561804e-03,2.176885e-02
1.735597e-01,8.338828e-02,7.916224e-02,6.966202e-02,6.736496e-02,6.453440e-02,5.134362e-02,4.510114e-02,4.201791e-02,3.291457e-02,3.110603e-02,2.817402e-02,2.423240e-02,2.183458e-02,2.160719e-02,2.035542e-02,1.990322e-02,1.943737e-02,1.919928e-02,1.909663e-02,1.789359e-02,1.705220e-02,1.572888e-02,1.491494e-02,3.291457e-02,9.392332e-08,-2.752757e-06,1.543222e-05,4.281442e-05,6.040122e-04,1.602780e-03,2.150163e-02
5.661960e-02,4.470730e-02,3.561469e-02,1.416137e-02,1.142641e-02,9.863484e-03,8.948534e-03,5.940961e-03,5.489505e-03,3.194780e-03,2.929533e-03,2.922187e-03,2.538702e-03,1.872213e-03,1.810230e-03,1.502429e-03,1.181955e-03,1.054258e-03,1.010869e-03,8.273088e-04,6.584225e-04,6.048160e-04,5.606133e-04,5.322542e-04,3.194780e-03,9.579292e-08,-2.826515e-06,1.654449e-05,3.702289e-05,5.886858e-04,1.578770e-03,2.122928e-02
