sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample7-195rpm-60kx-1,7.619061e-08,-2.314968e-06,1.358324e-05,1.891179e-05,7.879884e-04,1.633614e-03,2.127592e-02,4.122079e-04,9.936637e-01,39,9.926889e-01,3.251066e-03
sample7-195rpm-60kx-2,6.837007e-08,-2.124162e-06,1.288744e-05,7.339888e-06,8.636562e-04,1.609038e-03,2.105639e-02,4.705895e-04,9.927565e-01,39,9.916421e-01,3.473672e-03
sample7-195rpm-60kx-3,6.454493e-08,-2.052016e-06,1.317781e-05,-4.338097e-06,9.185366e-04,1.624513e-03,2.091443e-02,5.311103e-04,9.919303e-01,39,9.906888e-01,3.690286e-03
sample7-195rpm-60kx-4,8.483211e-08,-2.525393e-06,1.446075e-05,3.104867e-05,6.837191e-04,1.577260e-03,2.123003e-02,3.729948e-04,9.939867e-01,39,9.930616e-01,3.092567e-03
sample7-195rpm-60kx-5,6.428413e-08,-2.086968e-06,1.440019e-05,-1.608181e-05,9.437951e-04,1.672419e-03,2.074209e-02,6.220304e-04,9.906822e-01,39,9.892487e-01,3.993682e-03
sample7-195rpm-60kx-6,7.498717e-08,-2.313781e-06,1.439806e-05,8.733212e-06,8.067274e-04,1.613461e-03,2.097845e-02,4.776560e-04,9.925169e-01,39,9.913657e-01,3.499656e-03
sample7-195rpm-60kx-7,6.663108e-08,-2.108515e-06,1.351681e-05,-2.498131e-06,9.002294e-04,1.651596e-03,2.096406e-02,5.305924e-04,9.919731e-01,39,9.907382e-01,3.688487e-03
sample7-195rpm-60kx-8,7.358797e-08,-2.245118e-06,1.323281e-05,1.643858e-05,7.957633e-04,1.571543e-03,2.104254e-02,4.343410e-04,9.931045e-01,39,9.920437e-01,3.337207e-03
sample7-195rpm-60kx-9,5.381163e-08,-1.839176e-06,1.367958e-05,-3.418456e-05,1.064527e-03,1.656129e-03,2.054768e-02,7.100883e-04,9.896231e-01,39,9.880267e-01,4.267012e-03
sample7-20rpm-60kx-10,1.046160e-07,-2.994284e-06,1.587262e-05,6.296507e-05,4.880344e-04,1.555583e-03,2.177026e-02,2.269989e-04,9.963052e-01,39,9.957367e-01,2.412568e-03
sample7-20rpm-60kx-11,8.323745e-08,-2.467065e-06,1.361022e-05,3.501179e-05,7.057350e-04,1.624230e-03,2.153914e-02,3.401216e-04,9.947497e-01,39,9.939419e-01,2.953145e-03
sample7-20rpm-60kx-2,9.523138e-08,-2.764633e-06,1.496143e-05,5.021452e-05,5.759364e-04,1.572917e-03,2.157181e-02,2.873356e-04,9.953602e-01,39,9.946464e-01,2.714328e-03
