sample_name,a1,a2,a3,a4,a5,a6,a7,a8,SSE,R_square,DFE,adj_R_square,RMSE
sample12-195rpm-60kx-23,9.513270e-09,-1.268879e-07,-2.375285e-06,3.430437e-05,-3.468503e-05,2.630900e-04,2.546822e-03,2.226222e-02,2.863833e-04,9.953586e-01,38,9.945036e-01,2.745251e-03
sample12-195rpm-60kx-24,9.676474e-09,-1.305718e-07,-2.382694e-06,3.496295e-05,-3.903668e-05,2.684343e-04,2.585168e-03,2.229180e-02,2.939142e-04,9.952976e-01,38,9.944313e-01,2.781112e-03
sample12-195rpm-60kx-25,1.463344e-08,-2.832769e-07,-1.179056e-06,3.858369e-05,-1.075295e-04,4.011436e-04,3.030212e-03,2.219245e-02,3.452793e-04,9.945664e-01,38,9.935654e-01,3.014349e-03
sample12-195rpm-60kx-26,1.119248e-08,-1.743942e-07,-2.114049e-06,3.719507e-05,-6.423274e-05,3.098669e-04,2.760912e-03,2.232786e-02,3.216468e-04,9.949954e-01,38,9.940735e-01,2.909363e-03
sample12-195rpm-60kx-28,1.495869e-08,-2.731974e-07,-1.785795e-06,4.654003e-05,-1.389136e-04,3.673493e-04,3.271835e-03,2.221772e-02,5.133639e-04,9.928265e-01,38,9.915050e-01,3.675538e-03
sample12-195rpm-60kx-29,1.108547e-08,-1.815687e-07,-1.783576e-06,3.308919e-05,-4.881214e-05,3.357374e-04,2.656171e-03,2.239183e-02,2.470833e-04,9.960393e-01,38,9.953097e-01,2.549939e-03
sample12-195rpm-60kx-2,1.002692e-08,-1.538187e-07,-1.874434e-06,3.045696e-05,-2.786507e-05,3.172622e-04,2.492241e-03,2.238554e-02,2.103304e-04,9.965502e-01,38,9.959147e-01,2.352660e-03
sample12-195rpm-60kx-31,9.176904e-09,-1.228348e-07,-2.241796e-06,3.164039e-05,-2.190132e-05,2.718906e-04,2.441034e-03,2.229194e-02,2.389729e-04,9.960361e-01,38,9.953059e-01,2.507740e-03
sample12-195rpm-60kx-36,1.032154e-08,-1.527026e-07,-2.149235e-06,3.456295e-05,-4.497457e-05,2.934809e-04,2.623466e-03,2.230930e-02,2.814787e-04,9.954830e-01,38,9.946509e-01,2.721642e-03
sample12-195rpm-60kx-38,9.496444e-09,-1.357879e-07,-2.058505e-06,3.067324e-05,-2.188755e-05,2.858352e-04,2.452278e-03,2.228613e-02,2.250019e-04,9.962554e-01,38,9.955656e-01,2.433332e-03
sample12-195rpm-60kx-39,1.649847e-08,-3.215478e-07,-1.374850e-06,4.717336e-05,-1.572618e-04,3.945212e-04,3.373504e-03,2.208452e-02,5.475497e-04,9.921643e-01,38,9.907209e-01,3.795946e-03
sample12-195rpm-60kx-42,1.059539e-08,-1.650367e-07,-1.950593e-06,3.325133e-05,-4.353101e-05,3.166124e-04,2.630424e-03,2.239375e-02,2.536029e-04,9.959407e-01,38,9.951929e-01,2.583362e-03
sample12-195rpm-60kx-45,1.051048e-08,-1.657933e-07,-1.855729e-06,3.190467e-05,-3.794676e-05,3.185077e-04,2.570112e-03,2.234495e-02,2.345758e-04,9.961716e-01,38,9.954664e-01,2.484562e-03
sample12-195rpm-60kx-47,1.688571e-08,-3.019343e-07,-2.373018e-06,6.009060e-05,-2.110585e-04,3.716397e-04,3.719652e-03,2.216724e-02,8.334448e-04,9.911913e-01,38,9.895686e-01,4.683242e-03
sample12-195rpm-60kx-49,1.093503e-08,-1.715004e-07,-2.005504e-06,3.512987e-05,-5.453504e-05,3.117618e-04,2.659621e-03,2.226329e-02,2.843860e-04,9.954224e-01,38,9.945792e-01,2.735661e-03
sample12-195rpm-60kx-50,1.098340e-08,-1.817344e-07,-1.696197e-06,3.173058e-05,-4.294742e-05,3.462791e-04,2.636718e-03,2.247032e-02,2.235000e-04,9.964370e-01,38,9.957806e-01,2.425197e-03
sample12-195rpm-60kx-52,9.047294e-09,-1.098283e-07,-2.589815e-06,3.523928e-05,-3.497192e-05,2.727040e-04,2.554611e-03,2.243588e-02,2.734896e-04,9.957539e-01,38,9.949718e-01,2.682740e-03
sample12-195rpm-60kx-6,9.965827e-09,-1.513771e-07,-1.907466e-06,3.059948e-05,-2.727954e-05,3.096477e-04,2.499036e-03,2.236040e-02,2.162676e-04,9.964482e-01,38,9.957939e-01,2.385635e-03
sample12-195rpm-60kx-7,8.534988e-09,-1.120919e-07,-2.093319e-06,2.772731e-05,-1.470825e-06,2.925134e-04,2.349237e-03,2.249814e-02,1.754911e-04,9.971391e-01,38,9.966121e-01,2.148997e-03
sample12-195rpm-60kx-8,1.230645e-08,-2.295904e-07,-1.141589e-06,2.994277e-05,-5.307450e-05,4.654488e-04,2.868094e-03,2.321608e-02,1.649143e-04,9.976816e-01,38,9.972546e-01,2.083231e-03
sample12-195rpm-60kx-9,1.722657e-08,-3.771650e-07,-9.000504e-08,3.500255e-05,-1.274745e-04,6.553716e-04,3.509823e-03,2.388938e-02,1.946764e-04,9.976141e-01,38,9.971746e-01,2.263418e-03
sample12-20rpm-60kx-16,4.455183e-09,1.098617e-08,-3.000932e-06,2.399058e-05,5.597411e-05,1.886546e-04,1.912527e-03,2.242945e-02,1.386492e-04,9.976509e-01,38,9.972181e-01,1.910147e-03
sample12-20rpm-60kx-18,8.594107e-09,-1.103872e-07,-2.196289e-06,2.909336e-05,-6.258136e-06,2.695930e-04,2.354818e-03,2.233382e-02,2.034696e-04,9.966053e-01,38,9.959800e-01,2.313971e-03
sample12-20rpm-60kx-1,1.176613e-08,-1.986975e-07,-1.748009e-06,3.506007e-05,-6.328467e-05,3.393456e-04,2.728888e-03,2.230364e-02,2.816403e-04,9.954835e-01,38,9.946515e-01,2.722423e-03
sample12-20rpm-60kx-20,4.766658e-09,-5.422447e-10,-2.856567e-06,2.334623e-05,5.553110e-05,2.028467e-04,1.946350e-03,2.251867e-02,1.339515e-04,9.977638e-01,38,9.973519e-01,1.877509e-03
sample12-20rpm-60kx-21,7.739512e-09,-8.998615e-08,-2.209057e-06,2.632125e-05,1.115069e-05,2.967307e-04,2.264044e-03,2.266660e-02,1.476502e-04,9.976355e-01,38,9.971999e-01,1.971175e-03
sample12-20rpm-60kx-26,7.675482e-09,-8.035628e-08,-2.477507e-06,2.907295e-05,4.358000e-06,2.372340e-04,2.282015e-03,2.231785e-02,2.095460e-04,9.964836e-01,38,9.958358e-01,2.348269e-03
sample12-20rpm-60kx-27,1.368416e-08,-2.494376e-07,-1.566375e-06,3.958605e-05,-1.000143e-04,3.761367e-04,3.031946e-03,2.237912e-02,3.587567e-04,9.945857e-01,38,9.935883e-01,3.072616e-03
sample12-20rpm-60kx-29,7.268299e-09,-6.853707e-08,-2.551427e-06,2.850693e-05,1.093903e-05,2.244049e-04,2.228170e-03,2.228076e-02,2.049215e-04,9.965252e-01,38,9.958852e-01,2.322212e-03
sample12-20rpm-60kx-34,7.044810e-09,-6.528118e-08,-2.486853e-06,2.702143e-05,1.759301e-05,2.502863e-04,2.216085e-03,2.250496e-02,1.699856e-04,9.972083e-01,38,9.966940e-01,2.115019e-03
sample12-20rpm-60kx-42,5.722479e-09,-2.574469e-08,-2.768965e-06,2.565374e-05,3.668145e-05,2.234671e-04,2.080585e-03,2.255649e-02,1.531995e-04,9.974780e-01,38,9.970134e-01,2.007876e-03
sample12-20rpm-60kx-44,6.156610e-09,-3.808566e-08,-2.697787e-06,2.629767e-05,3.008398e-05,2.341156e-04,2.161769e-03,2.261544e-02,1.625753e-04,9.973683e-01,38,9.968835e-01,2.068405e-03
