input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,input23,input24,input25,output1,output2,output3,output4,output5,output6
8.897239e-02,8.062898e-02,6.564257e-02,6.158267e-02,5.613207e-02,4.850927e-02,4.402734e-02,4.119686e-02,3.920115e-02,3.891210e-02,3.832580e-02,3.605823e-02,3.592847e-02,3.527317e-02,3.502020e-02,3.390189e-02,3.025843e-02,3.025240e-02,2.909229e-02,2.817312e-02,2.693324e-02,2.634941e-02,2.633735e-02,2.570377e-02,3.891210e-02,4.121680e+00,1.326821e-02,2.732026e-01,-1.391601e-02,-8.061222e-04,-3.388852e-04
3.650381e-01,1.885675e-01,1.172392e-01,6.889049e-02,4.696362e-02,3.894366e-02,3.530004e-02,3.232544e-02,2.780270e-02,2.582290e-02,2.348445e-02,2.211863e-02,1.901585e-02,1.861656e-02,1.709929e-02,1.579969e-02,1.429278e-02,1.394814e-02,1.164424e-02,1.150383e-02,1.108678e-02,1.044597e-02,1.010490e-02,9.498676e-03,2.582290e-02,4.032441e+00,9.644757e-03,2.826848e-01,-1.324145e-02,-9.848528e-04,-2.825357e-04
2.064007e-01,1.056779e-01,9.240925e-02,7.994933e-02,6.821645e-02,4.872677e-02,4.521687e-02,4.222675e-02,4.197000e-02,3.141786e-02,3.071382e-02,2.822412e-02,2.673070e-02,2.377946e-02,2.372240e-02,2.064425e-02,2.002680e-02,1.804102e-02,1.550187e-02,1.521386e-02,1.454069e-02,1.335959e-02,1.284151e-02,1.180901e-02,3.141786e-02,4.068319e+00,4.897628e-03,3.160228e-01,-1.238245e-02,-8.738692e-04,-2.657943e-04
1.035183e-01,1.002033e-01,9.175214e-02,7.955713e-02,7.268096e-02,6.035307e-02,5.589864e-02,4.938697e-02,4.112698e-02,3.518370e-02,3.117642e-02,2.769672e-02,2.347622e-02,2.205971e-02,2.110637e-02,1.977874e-02,1.906311e-02,1.573259e-02,1.530709e-02,1.477863e-02,1.380179e-02,1.299155e-02,1.240605e-02,1.132743e-02,3.518370e-02,4.064427e+00,2.895618e-03,3.421246e-01,-1.191861e-02,-8.236522e-04,-2.496005e-04
5.633855e-01,3.657692e-01,1.727755e-01,1.136088e-01,1.087563e-01,9.997209e-02,8.863240e-02,8.590074e-02,7.072984e-02,6.369516e-02,5.974329e-02,5.805829e-02,5.711285e-02,5.262741e-02,5.212318e-02,5.015869e-02,4.618045e-02,4.387252e-02,4.349730e-02,4.134305e-02,4.027736e-02,3.986023e-02,3.731588e-02,3.630078e-02,6.369516e-02,4.074188e+00,3.769430e-03,3.290882e-01,-1.214802e-02,-8.566700e-04,-2.583729e-04
6.963147e-02,6.694625e-02,4.239124e-02,4.092028e-02,2.875956e-02,2.822492e-02,2.743055e-02,2.525903e-02,1.829672e-02,1.723859e-02,1.312553e-02,9.839018e-03,9.217230e-03,8.383478e-03,7.700501e-03,7.475754e-03,7.275830e-03,4.889075e-03,4.374256e-03,4.303932e-03,4.194503e-03,4.193783e-03,4.111573e-03,3.733315e-03,1.723859e-02,4.067413e+00,1.876726e-02,2.536451e-01,-1.507282e-02,-1.065281e-03,-3.244121e-04
1.093945e-01,4.465320e-02,4.418961e-02,4.088634e-02,4.073675e-02,3.312855e-02,2.927412e-02,2.726781e-02,2.473308e-02,1.394258e-02,1.243318e-02,1.243214e-02,1.194659e-02,1.003694e-02,9.511668e-03,7.898355e-03,7.212020e-03,6.585044e-03,6.210776e-03,5.708804e-03,5.524918e-03,5.260606e-03,4.629879e-03,4.458429e-03,1.394258e-02,4.071517e+00,1.660215e-02,2.587699e-01,-1.470401e-02,-1.050818e-03,-3.167490e-04
1.902308e-01,1.293145e-01,1.197078e-01,9.746576e-02,9.328202e-02,8.817914e-02,8.318495e-02,6.994191e-02,5.965224e-02,5.525029e-02,5.115215e-02,4.947677e-02,4.786679e-02,4.135129e-02,4.108712e-02,3.586922e-02,3.458521e-02,3.458508e-02,3.284321e-02,3.223645e-02,3.074683e-02,2.860529e-02,2.793278e-02,2.637532e-02,5.525029e-02,4.156053e+00,1.741905e-02,2.636934e-01,-1.473577e-02,-7.675866e-04,-3.717486e-04
1.158595e-01,1.030302e-01,9.919506e-02,8.793655e-02,6.764094e-02,6.620962e-02,6.469001e-02,6.097816e-02,6.055851e-02,5.922823e-02,5.705795e-02,5.153255e-02,5.006487e-02,4.979723e-02,4.635932e-02,4.465134e-02,4.154479e-02,4.131388e-02,3.888288e-02,3.837267e-02,3.679190e-02,3.616653e-02,3.488239e-02,3.377682e-02,5.922823e-02,4.211089e+00,1.479602e-02,2.687220e-01,-1.484122e-02,-9.256996e-04,-3.479673e-04
1.230374e-01,9.469351e-02,8.716190e-02,8.594016e-02,7.421092e-02,6.688544e-02,6.238986e-02,5.926604e-02,4.780639e-02,4.527023e-02,4.261793e-02,4.129974e-02,3.839587e-02,3.801455e-02,3.611786e-02,2.899223e-02,2.824300e-02,2.457779e-02,2.141290e-02,2.034452e-02,2.012208e-02,1.640021e-02,1.588100e-02,1.526635e-02,4.527023e-02,4.127011e+00,1.929800e-02,2.538960e-01,-1.546885e-02,-1.087098e-03,-3.359849e-04
1.968702e-01,1.829958e-01,1.446148e-01,1.387332e-01,1.094663e-01,9.660806e-02,9.128212e-02,8.729276e-02,8.599459e-02,7.233385e-02,6.636679e-02,5.601834e-02,5.542078e-02,4.947057e-02,4.390378e-02,4.121055e-02,4.091477e-02,3.707587e-02,3.387787e-02,3.157879e-02,2.952525e-02,2.831605e-02,2.821536e-02,2.714509e-02,7.233385e-02,4.141588e+00,1.226659e-02,2.757744e-01,-1.396475e-02,-8.457790e-04,-3.296413e-04
1.358638e-01,1.143511e-01,9.718017e-02,7.834738e-02,7.635611e-02,7.563312e-02,6.334232e-02,5.693023e-02,5.434468e-02,4.917781e-02,4.653657e-02,4.331764e-02,3.933099e-02,3.752250e-02,3.459639e-02,3.377213e-02,3.156032e-02,3.123926e-02,2.574034e-02,2.444231e-02,2.405320e-02,2.335611e-02,2.309175e-02,2.081536e-02,4.917781e-02,4.144377e+00,1.887397e-02,2.569353e-01,-1.530679e-02,-9.620131e-04,-3.512563e-04
1.030625e-01,9.216952e-02,6.903731e-02,6.143593e-02,5.400365e-02,5.263779e-02,3.756773e-02,3.542801e-02,3.461373e-02,3.374666e-02,2.524578e-02,2.161547e-02,2.039896e-02,2.003249e-02,1.662668e-02,1.454153e-02,1.440586e-02,1.325570e-02,1.156551e-02,1.113715e-02,1.092428e-02,1.079778e-02,1.059089e-02,1.018731e-02,3.374666e-02,4.084018e+00,1.674602e-02,2.587136e-01,-1.479646e-02,-1.050921e-03,-3.194345e-04
1.606411e-01,1.255558e-01,1.189905e-01,1.182147e-01,1.103358e-01,9.325469e-02,8.032855e-02,7.122479e-02,6.220823e-02,6.103724e-02,6.051890e-02,5.600264e-02,5.029554e-02,5.019767e-02,4.835232e-02,4.715950e-02,3.886236e-02,3.468563e-02,3.367574e-02,3.357609e-02,3.128473e-02,3.052594e-02,2.952007e-02,2.842220e-02,6.103724e-02,4.136286e+00,2.352789e-02,2.482551e-01,-1.611031e-02,-1.003971e-03,-3.676089e-04
1.017566e-01,9.734296e-02,8.392590e-02,8.041782e-02,7.147688e-02,6.315011e-02,5.131308e-02,4.765639e-02,4.234883e-02,4.215914e-02,3.913751e-02,3.184720e-02,2.914368e-02,2.851823e-02,2.723672e-02,2.656164e-02,2.339319e-02,2.202105e-02,2.194046e-02,1.800435e-02,1.735471e-02,1.726222e-02,1.715136e-02,1.602747e-02,4.215914e-02,4.112226e+00,1.321589e-02,2.719091e-01,-1.400055e-02,-8.543110e-04,-3.293393e-04
1.590543e-01,9.824362e-02,9.571201e-02,8.521177e-02,8.023925e-02,6.660760e-02,6.101566e-02,6.051515e-02,5.866114e-02,5.667723e-02,5.228117e-02,5.039172e-02,4.716051e-02,4.354327e-02,3.771000e-02,3.631900e-02,3.490737e-02,3.208113e-02,2.911434e-02,2.803706e-02,2.665045e-02,2.572300e-02,2.209060e-02,2.021885e-02,5.667723e-02,4.142333e+00,1.850173e-02,2.577680e-01,-1.522209e-02,-9.645688e-04,-3.498473e-04
