w1,w2,w3,w4,w5,w6,fval
8.548774e-01,1.043450e+00,1.027612e+00,9.869238e-01,1.073552e+00,1.013905e+00,6.382052e-10
1.132907e+00,1.004575e+00,9.421777e-01,1.063580e+00,9.708563e-01,9.631174e-01,1.100931e-10
8.565699e-01,1.042601e+00,1.029781e+00,9.887084e-01,1.071852e+00,1.013165e+00,3.357730e-10
1.135081e+00,9.975439e-01,9.449931e-01,1.060011e+00,9.677276e-01,9.646291e-01,6.982886e-11
8.579170e-01,1.029034e+00,1.033184e+00,9.905854e-01,1.073168e+00,1.019354e+00,8.404322e-10
1.136961e+00,1.013869e+00,9.305646e-01,1.060105e+00,9.717957e-01,9.588009e-01,2.339972e-10
8.590219e-01,1.025609e+00,1.034298e+00,9.983941e-01,1.074049e+00,1.014121e+00,7.831312e-10
1.138367e+00,1.003199e+00,9.379297e-01,1.063435e+00,9.652441e-01,9.588727e-01,4.740083e-10
8.601855e-01,1.030509e+00,1.032821e+00,9.895033e-01,1.070679e+00,1.020083e+00,1.519398e-09
1.139603e+00,9.978539e-01,9.409712e-01,1.069268e+00,9.640054e-01,9.570692e-01,1.304554e-10
8.611687e-01,1.026220e+00,1.036489e+00,9.856480e-01,1.071811e+00,1.023038e+00,4.026752e-10
1.140899e+00,9.611586e-01,9.401359e-01,1.061523e+00,9.763124e-01,1.001465e+00,1.710858e-10
8.620239e-01,1.023448e+00,1.037594e+00,9.887828e-01,1.064714e+00,1.026155e+00,1.720894e-10
1.142051e+00,9.584779e-01,9.684351e-01,1.063069e+00,9.403496e-01,1.006464e+00,1.428322e-10
8.629039e-01,1.020418e+00,1.068962e+00,9.900970e-01,1.033155e+00,1.030441e+00,1.883833e-09
1.143073e+00,1.047021e+00,1.008412e+00,9.738309e-01,9.497306e-01,9.638155e-01,3.222508e-10
8.638585e-01,9.877353e-01,1.020943e+00,1.070046e+00,1.035779e+00,1.044276e+00,5.949253e-10
1.144286e+00,1.061900e+00,9.555120e-01,9.692832e-01,9.402517e-01,9.711263e-01,1.154776e-10
8.648983e-01,9.855882e-01,1.018442e+00,1.072122e+00,1.034549e+00,1.046177e+00,6.199434e-10
1.145718e+00,1.064338e+00,9.574944e-01,9.681572e-01,9.382216e-01,9.723983e-01,9.448757e-11
8.659808e-01,9.855662e-01,1.025910e+00,1.062652e+00,1.029173e+00,1.048756e+00,1.521534e-09
1.147534e+00,1.052539e+00,9.478562e-01,9.670084e-01,9.731610e-01,9.435642e-01,5.493739e-14
8.675836e-01,9.954244e-01,1.007877e+00,1.071797e+00,1.045250e+00,1.034859e+00,8.698132e-10
1.149489e+00,9.524049e-01,1.062222e+00,9.692957e-01,9.687030e-01,9.385303e-01,3.842120e-11
8.689701e-01,1.004346e+00,1.006445e+00,1.054132e+00,1.036269e+00,1.050897e+00,9.439402e-10
1.151815e+00,9.505205e-01,1.066258e+00,9.675613e-01,9.745157e-01,9.333817e-01,6.010837e-10
8.708827e-01,1.008405e+00,1.004053e+00,1.051846e+00,1.034187e+00,1.050675e+00,5.214719e-10
1.154622e+00,9.474261e-01,1.068196e+00,9.622569e-01,9.798591e-01,9.376359e-01,1.150946e-09
8.731934e-01,1.014613e+00,1.002393e+00,1.055598e+00,1.032641e+00,1.044871e+00,4.127226e-10
1.158035e+00,9.445282e-01,1.066409e+00,9.653122e-01,9.748035e-01,9.351712e-01,6.460953e-11
8.764798e-01,1.001665e+00,9.991557e-01,1.061598e+00,1.034002e+00,1.047699e+00,1.781262e-09
1.162997e+00,9.450297e-01,1.053401e+00,9.376072e-01,9.857377e-01,9.628291e-01,5.913187e-12
8.791755e-01,1.015131e+00,1.004822e+00,1.036556e+00,1.039639e+00,1.056261e+00,1.588359e-09
1.166451e+00,9.564730e-01,1.062701e+00,9.318318e-01,9.890008e-01,9.594553e-01,2.523921e-10
8.836367e-01,1.015199e+00,9.964945e-01,1.034614e+00,1.039783e+00,1.058992e+00,9.053001e-10
1.167964e+00,9.360546e-01,1.090430e+00,9.871166e-01,9.561978e-01,9.214119e-01,2.118951e-10
8.871356e-01,1.010959e+00,1.001284e+00,1.030485e+00,1.031019e+00,1.067865e+00,5.305475e-10
1.170514e+00,1.066905e+00,1.042140e+00,9.506312e-01,1.007709e+00,9.001022e-01,2.896895e-11
8.916564e-01,1.011187e+00,9.956207e-01,1.028435e+00,1.035265e+00,1.065743e+00,6.935767e-11
1.171853e+00,1.069716e+00,1.053119e+00,9.424332e-01,1.003759e+00,8.975013e-01,8.446442e-12
8.936219e-01,1.011128e+00,1.000348e+00,1.029916e+00,1.033053e+00,1.062150e+00,2.784915e-10
1.180497e+00,1.082246e+00,1.038151e+00,9.681226e-01,9.676913e-01,8.983635e-01,8.423899e-11
8.959235e-01,1.010786e+00,1.002479e+00,1.034172e+00,1.029284e+00,1.058160e+00,3.676872e-10
1.159270e+00,1.003293e+00,1.097992e+00,9.801600e-01,8.626214e-01,9.064422e-01,4.961982e-11
8.938476e-01,1.007456e+00,1.004553e+00,1.050146e+00,1.027149e+00,1.054480e+00,6.237736e-10
1.150210e+00,1.007159e+00,1.103807e+00,9.700553e-01,8.718176e-01,9.097570e-01,2.873153e-10

1.011776e+00,1.007189e+00,1.014584e+00,1.011183e+00,1.003263e+00,9.937832e-01


8.434575e-01,1.037474e+00,1.033885e+00,9.891932e-01,1.079328e+00,1.011635e+00,7.493444e-12
1.148862e+00,1.010885e+00,9.358900e-01,1.058534e+00,9.769531e-01,9.551979e-01,4.094889e-11
8.450472e-01,1.038421e+00,1.033152e+00,9.897908e-01,1.078010e+00,1.013266e+00,4.334805e-11
1.150542e+00,1.001502e+00,9.341816e-01,1.067191e+00,9.739686e-01,9.584507e-01,2.624669e-11
8.464610e-01,1.037844e+00,1.033075e+00,9.921709e-01,1.079159e+00,1.009791e+00,1.285043e-10
1.152401e+00,1.010224e+00,9.395703e-01,1.058244e+00,9.614616e-01,9.620228e-01,1.450988e-10
8.476960e-01,1.040918e+00,1.029510e+00,9.882482e-01,1.078521e+00,1.013308e+00,1.125913e-10
1.153874e+00,9.936408e-01,9.386928e-01,1.065183e+00,9.648815e-01,9.480881e-01,5.360756e-10
8.486558e-01,1.039027e+00,1.038187e+00,9.917064e-01,1.074596e+00,1.008551e+00,1.674845e-10
1.155139e+00,1.003758e+00,9.384703e-01,1.066529e+00,9.606904e-01,9.466692e-01,1.292570e-10
8.495092e-01,1.033453e+00,1.038807e+00,9.975706e-01,1.073310e+00,1.008020e+00,2.459495e-10
1.156338e+00,9.437570e-01,9.378818e-01,1.069979e+00,9.595153e-01,1.006261e+00,2.950470e-10
8.504929e-01,1.011240e+00,1.031408e+00,9.879395e-01,1.077667e+00,1.040618e+00,2.518403e-10
1.157580e+00,9.436962e-01,9.646246e-01,1.062374e+00,9.382553e-01,9.927181e-01,2.922534e-10
8.513461e-01,1.008650e+00,1.068820e+00,9.998697e-01,1.041109e+00,1.035654e+00,3.081657e-10
1.158593e+00,1.063211e+00,9.969156e-01,9.876926e-01,9.371147e-01,9.605551e-01,2.570787e-10
