sample_name,a1,a2,a3,a4,a5,a6,SSE,R_square,DFE,adj_R_square,RMSE
sample9-195rpm-60kx-6,4.304500e+00,1.185837e-02,2.824096e-01,-1.459348e-02,-8.280649e-04,-3.620120e-04,1.791120e-03,9.993559e-01,40,9.992754e-01,6.691636e-03
sample9-195rpm-60kx-7,4.322430e+00,1.979607e-02,2.586354e-01,-1.636311e-02,-1.038842e-03,-3.835375e-04,1.870262e-03,9.993447e-01,40,9.992628e-01,6.837876e-03
sample9-195rpm-60kx-8,4.235690e+00,1.466858e-02,2.697127e-01,-1.493801e-02,-9.319173e-04,-3.517694e-04,1.712793e-03,9.993435e-01,40,9.992614e-01,6.543686e-03
sample9-20rpm-60kx-10,4.134393e+00,2.007055e-02,2.524402e-01,-1.567363e-02,-1.088096e-03,-3.396638e-04,1.599352e-03,9.993241e-01,40,9.992397e-01,6.323274e-03
sample9-20rpm-60kx-2,4.198152e+00,1.381210e-02,2.717767e-01,-1.456900e-02,-8.930538e-04,-3.441336e-04,1.784683e-03,9.992886e-01,40,9.991997e-01,6.679600e-03
sample9-20rpm-60kx-5,4.236726e+00,1.042083e-02,2.854456e-01,-1.407875e-02,-8.552481e-04,-3.362122e-04,1.499743e-03,9.994237e-01,40,9.993516e-01,6.123200e-03
sample9-20rpm-60kx-6,4.137534e+00,1.255551e-02,2.746848e-01,-1.400393e-02,-8.464003e-04,-3.305471e-04,1.905095e-03,9.991914e-01,40,9.990903e-01,6.901259e-03
sample9-20rpm-60kx-7,4.171747e+00,1.213123e-02,2.770688e-01,-1.410163e-02,-8.483162e-04,-3.344220e-04,1.762608e-03,9.992777e-01,40,9.991874e-01,6.638162e-03
sample9-20rpm-60kx-9,4.184444e+00,1.300184e-02,2.756200e-01,-1.419540e-02,-7.995349e-04,-3.483485e-04,2.238784e-03,9.990917e-01,40,9.989782e-01,7.481284e-03
sample9-20rpm-60kx,4.204510e+00,1.276110e-02,2.749536e-01,-1.447229e-02,-9.255385e-04,-3.364819e-04,1.479935e-03,9.994150e-01,40,9.993418e-01,6.082630e-03
